Region,Source,Year,Data,Unit
Canada,Hydro,2005,72889.831,MW
Canada,Wind,2005,557.37,MW
Canada,Biomass,2005,1804.0882,MW
Canada,Solar,2005,16.75,MW
Canada,Nuclear,2005,12805,MW
Canada,Coal,2005,16002.64,MW
Canada,Natural Gas,2005,13190.61,MW
Canada,Oil and Diesel,2005,4794.76,MW
Canada,Hydro,2006,72779.831,MW
Canada,Wind,2006,1443.04,MW
Canada,Biomass,2006,1810.6882,MW
Canada,Solar,2006,20.48,MW
Canada,Nuclear,2006,13345,MW
Canada,Coal,2006,15918.64,MW
Canada,Natural Gas,2006,13500.29,MW
Canada,Oil and Diesel,2006,4704.79,MW
Canada,Hydro,2007,73580.831,MW
Canada,Wind,2007,1823.24,MW
Canada,Biomass,2007,1810.6882,MW
Canada,Solar,2007,25.77,MW
Canada,Nuclear,2007,13345,MW
Canada,Coal,2007,16005.64,MW
Canada,Natural Gas,2007,13590.66,MW
Canada,Oil and Diesel,2007,4830.79,MW
Canada,Hydro,2008,74483.831,MW
Canada,Wind,2008,2321.14,MW
Canada,Biomass,2008,1734.6882,MW
Canada,Solar,2008,32.72,MW
Canada,Nuclear,2008,13345,MW
Canada,Coal,2008,15743.64,MW
Canada,Natural Gas,2008,15428.16,MW
Canada,Oil and Diesel,2008,4802.74,MW
Canada,Hydro,2009,74765.831,MW
Canada,Wind,2009,3240.14,MW
Canada,Biomass,2009,1803.7882,MW
Canada,Solar,2009,94.57,MW
Canada,Nuclear,2009,13345,MW
Canada,Coal,2009,15800.64,MW
Canada,Natural Gas,2009,15556.39,MW
Canada,Oil and Diesel,2009,4706.08,MW
Canada,Hydro,2010,75160.831,MW
Canada,Wind,2010,3746.14,MW
Canada,Biomass,2010,1868.7882,MW
Canada,Solar,2010,281.13,MW
Canada,Nuclear,2010,13345,MW
Canada,Coal,2010,13923.64,MW
Canada,Natural Gas,2010,18814.81,MW
Canada,Oil and Diesel,2010,4760.07,MW
Canada,Hydro,2011,75476.681,MW
Canada,Wind,2011,5171.34,MW
Canada,Biomass,2011,1898.2852,MW
Canada,Solar,2011,419.4,MW
Canada,Nuclear,2011,13345,MW
Canada,Coal,2011,13608.64,MW
Canada,Natural Gas,2011,18960.945,MW
Canada,Oil and Diesel,2011,4265.07,MW
Canada,Hydro,2012,76531.981,MW
Canada,Wind,2012,6037.64,MW
Canada,Biomass,2012,1953.3852,MW
Canada,Solar,2012,647.481,MW
Canada,Nuclear,2012,13345,MW
Canada,Coal,2012,12563.64,MW
Canada,Natural Gas,2012,19785.945,MW
Canada,Oil and Diesel,2012,4265.07,MW
Canada,Hydro,2013,76003.281,MW
Canada,Wind,2013,7683.61,MW
Canada,Biomass,2013,1982.2342,MW
Canada,Solar,2013,1027.628,MW
Canada,Nuclear,2013,14345,MW
Canada,Coal,2013,12024.64,MW
Canada,Natural Gas,2013,19935.085,MW
Canada,Oil and Diesel,2013,4269.07,MW
Canada,Hydro,2014,78576.701,MW
Canada,Wind,2014,9621.59,MW
Canada,Biomass,2014,2437.3282,MW
Canada,Solar,2014,1523.478,MW
Canada,Nuclear,2014,14273,MW
Canada,Coal,2014,9785.64,MW
Canada,Natural Gas,2014,20107.01,MW
Canada,Oil and Diesel,2014,3785.765,MW
Canada,Hydro,2015,79434.06,MW
Canada,Wind,2015,11072.19,MW
Canada,Biomass,2015,2414.0282,MW
Canada,Solar,2015,2135.478,MW
Canada,Nuclear,2015,14273,MW
Canada,Coal,2015,9661.44,MW
Canada,Natural Gas,2015,22006.37,MW
Canada,Oil and Diesel,2015,3841.765,MW
Canada,Hydro,2016,80403.11,MW
Canada,Wind,2016,11902.4,MW
Canada,Biomass,2016,2702.29,MW
Canada,Solar,2016,2309.538,MW
Canada,Nuclear,2016,14273,MW
Canada,Coal,2016,9661.44,MW
Canada,Natural Gas,2016,21499.42,MW
Canada,Oil and Diesel,2016,3836.755,MW
BC,Hydro,2005,12847,MW
BC,Wind,2005,0,MW
BC,Biomass,2005,811,MW
BC,Solar,2005,0,MW
BC,Nuclear,2005,0,MW
BC,Coal,2005,0,MW
